year;rodzaj_biletow;przychody
2017;jednorazowe ZKM;24805149
2017;okresowe ZKM;33210442
2017;metropolitalne wraz z rekompensatą MZKZG;6391592
2018;jednorazowe ZKM;23447257
2018;okresowe ZKM;30508314
2018;metropolitalne wraz z rekompensatą MZKZG;7351578
2019;jednorazowe ZKM;28635842.59
2019;okresowe ZKM;20615848.66
2019;metropolitalne wraz z rekompensatą MZKZG;8857405.94
2020;jednorazowe ZKM;12823957.35
2020;okresowe ZKM;17709274.44
2020;metropolitalne wraz z rekompensatą MZKZG;8128979.13
2021;jednorazowe ZKM;11519582
2021;okresowe ZKM;21393508
2021;metropolitalne wraz z rekompensatą MZKZG;12463994
