year;miasto;dlugosc_tras_autobusowych_w_granicach_miasta;dlugosc_tras_trolejbusowych_w_granicach_miasta;dlugosc_linii_autobusowych_w_granicach_miasta;dlugosc_linii_trolejbusowych_w_granicach_miasta;wozokm_autobusowe_w_granicach_miasta;wozokm_trolejbusowe_w_granicach_miasta
2017;Gdynia;199;44.7;734;168;11760;5148
2017;Rumia;47;0;77.6;0;1007;0
2017;Sopot;37.65;3.7;49.5;7.7;684;116
2017;Żukowo;20.7;0;20.7;0;231;0
2017;Kosakowo;34.1;0;85;0;565;0
2017;Wejherowo;7.6;0;7.6;0;91;0
2017;Szemud;29.5;0;32.7;0;156;0
2018;Gdynia;201.8;42.7;735;168;11656;5148
2018;Rumia;47;0;77.6;0;1028;0
2018;Sopot;40.2;3.7;49.5;9;687;121
2018;Żukowo;20.7;0;20.7;0;230;0
2018;Kosakowo;34.1;0;85;0;599;0
2018;Wejherowo;7.6;0;7.6;0;91;0
2018;Szemud;29.5;0;37.7;0;157;0
2019;Gdynia;201.8;44.2;728;189;11782;5233
2019;Rumia;47;0;77.6;0;1028;0
2019;Sopot;40.2;6.1;49.5;9;689;149
2019;Żukowo;20.7;0;20.7;0;240;0
2019;Kosakowo;34.1;0;85;0;607;0
2019;Wejherowo;7.6;0;7.6;0;91;0
2019;Szemud;29.5;0;32.7;0;157;0
2020;Gdynia;204;54.6;688;202;11571;5285
2020;Rumia;47;0;77.4;0;964;0
2020;Sopot;34;6,1;48.4;9;635;192
2020;Żukowo;17;0;21.7;0;247;0
2020;Kosakowo;41.1;0;85;0;607;0
2020;Wejherowo;7.6;0;7.6;0;75;0
2020;Szemud;31;0;32.7;0;147;0
2021;Gdynia;204;51.6;660;202;11438;5598
2021;Rumia;47;0;77.4;0;945;0
2021;Sopot;34;6.1;48.4;9;584;246
2021;Żukowo;17;0;21.7;0;250;0
2021;Kosakowo;41.1;0;85;0;642;0
2021;Wejherowo;7.6;0;7.6;0;76;0
2021;Szemud;31;0;32.7;0;149;0
